MEFLs,MEPEs,MEPTRs,MEPCYs,MEPCY7s,MEAPs,MEA750s,MECSBs,MEBFPs
296.1741926,255.3460841,615.2572128,43.68596759,2074.691325,198.6988492,56.094982,65.71214541,424.4921863
4165.26369,6181.593965,14142.03035,1442.409489,4420.957814,959.6180669,1260.1107,908.7484293,2264.453085
13820.80414,20816.58585,51322.03967,6786.125995,10036.78929,1707.984096,2553.705039,2817.802053,6733.56158
41568.17966,60867.39392,130837.6629,27689.70568,27804.90198,6165.254878,10902.54756,7606.384558,18809.79408
132189.0784,192590.2351,402586.6422,127998.6217,83520.33551,14936.50495,28723.65633,22073.45371,60452.58471
401564.0844,577860.955,1143487.967,567522.4121,285550.4025,56363.41503,122695.407,59799.22989,186755.3509
1094398.989,1485621.09,2752124.271,2102646.418,924370.4673,158226.2313,369795.3248,235662.066,291316.5524
3374751.757,4515085.246,7982389.915,10216609.4,4418558.362,395707.136,1008503.082,665551.5067,922856.0883
8428860.809,12020376.98,20398047.8,57132441.86,25625282.07,923106.9267,2797258.077,1562994.83,2791973.34
